id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications,logique_modele
213680,https://fr.ulule.com/saltie-la-1ere-pate-a-tartiner-salee/,saltie - la 1ere pate a tartiner salee saine et gourmande,marseille,artisanat & cuisine,artisanat_cuisine,prevente,100.0,417.0,112.0,55,1,93,2,vente_produit
216373,https://fr.ulule.com/ouverture-atelier-josepha/,ouverture de l'atelier josepha a rambouillet,none,artisanat & cuisine,artisanat_cuisine,euros,6370.0,2185.0,14.0,5,0,15,0,financement_don
197141,https://fr.ulule.com/crux-snacks/,crux : la premiere marque de nutrition dediee a l'escalade.,valence,artisanat & cuisine,artisanat_cuisine,euros,8000.0,8117.0,106.0,104,1,48,4,financement_don
217634,https://fr.ulule.com/fournil-des-oiseaux/,le fournil des oiseaux,boulc,artisanat & cuisine,artisanat_cuisine,euros,1500.0,1610.0,17.0,11,0,21,0,financement_don
129648,https://fr.ulule.com/coffret-initiation-tricot/,apprends enfin a tricoter !,nantes,artisanat & cuisine,artisanat_cuisine,prevente,80.0,60.0,53.0,35,0,39,1,vente_produit
217575,https://fr.ulule.com/alema_cafe-3/,alema cafe,mehun-sur-yevre,artisanat & cuisine,artisanat_cuisine,euros,3500.0,2675.0,49.0,54,1,17,1,financement_don
218687,https://fr.ulule.com/touslesgoutssontdanslanature/,tous les gouts sont dans la nature,none,artisanat & cuisine,artisanat_cuisine,euros,5300.0,2356.0,34.0,42,1,51,0,financement_don
208766,https://fr.ulule.com/ekhi-vins-biologiques-bouteilles-consignees/,la bouteille de vin qui ne se jette pas !,granville,artisanat & cuisine,artisanat_cuisine,prevente,150.0,256.0,51.0,55,0,44,2,vente_produit
214348,https://fr.ulule.com/l-app-de-cuisine-inspiree-de-tiktok/,l'appli de cuisine inspiree des reseaux sociaux,none,artisanat & cuisine,artisanat_cuisine,euros,5000.0,3428.0,20.0,10,1,28,1,financement_don
218062,https://fr.ulule.com/facettes_boulangerie_solaire/,facettes boulangerie solaire,none,artisanat & cuisine,artisanat_cuisine,euros,10000.0,8370.0,110.0,125,0,24,4,financement_don
217738,https://fr.ulule.com/madobordeauxcagnotte/,"mado, le spot ou ca mijote, ca papote et ca regale !",bordeaux,artisanat & cuisine,artisanat_cuisine,euros,5500.0,3575.0,28.0,11,0,18,0,financement_don
217685,https://fr.ulule.com/four-rofco-micro-fournil/,le fournil de memere,none,artisanat & cuisine,artisanat_cuisine,euros,2800.0,820.0,30.0,18,0,11,0,financement_don
217714,https://fr.ulule.com/tiretoiunebuchelyon7/,un nouveau bar a jeux ouvre a lyon 7,lyon,artisanat & cuisine,artisanat_cuisine,euros,15000.0,5315.0,54.0,55,1,34,0,financement_don
212048,https://fr.ulule.com/une-vitrine-pour-hiver-comme-et-the/,la plus belle des vitrines pour nos gateaux gourmands.,avignon,artisanat & cuisine,artisanat_cuisine,euros,2800.0,370.0,11.0,7,0,16,0,financement_don
212448,https://fr.ulule.com/je-soutiens-am_beers/,je soutiens am_beers,pourrieres,artisanat & cuisine,artisanat_cuisine,euros,5500.0,290.0,8.0,8,0,25,0,financement_don
218184,https://fr.ulule.com/elegance-sucree/,des buches pour noel !!!,mouans-sartoux,artisanat & cuisine,artisanat_cuisine,euros,2000.0,2355.0,50.0,38,0,26,0,financement_don
208928,https://fr.ulule.com/lueur-locale/,creer un atelier-boutique ethique au cur de correns,none,artisanat & cuisine,artisanat_cuisine,euros,4000.0,1210.0,21.0,15,0,29,0,financement_don
216466,https://fr.ulule.com/mettons-bokitew-sur-roues--/,mettons bokitew sur roues !,marseille,artisanat & cuisine,artisanat_cuisine,euros,3000.0,1539.0,43.0,27,1,16,1,financement_don
216731,https://fr.ulule.com/le-bon-sens/,le bon sens,montpellier,artisanat & cuisine,artisanat_cuisine,euros,10000.0,2617.0,47.0,54,0,21,0,financement_don
209842,https://fr.ulule.com/malki-biscuits/,malki - le monde en biscuits,hure,artisanat & cuisine,artisanat_cuisine,euros,2500.0,3529.0,44.0,36,0,45,14,financement_don
214498,https://fr.ulule.com/salondethelua/,creation du salon de the lua a dunkerque,dunkerque,artisanat & cuisine,artisanat_cuisine,euros,5000.0,2317.0,52.0,26,0,15,0,financement_don
205995,https://fr.ulule.com/toujours-plus-antik/,pour que le rhum soit toujours plus antik,marseille,artisanat & cuisine,artisanat_cuisine,euros,3000.0,1004.0,17.0,11,1,6,1,financement_don
217275,https://fr.ulule.com/golwos/,brasserie golwos,herrlisheim,artisanat & cuisine,artisanat_cuisine,prevente,560.0,615.0,60.0,82,1,32,0,vente_produit
177143,https://fr.ulule.com/un-sac-isotherme-pas-comme-les-autres/,dounaa sen - un sac isotherme pas comme les autres,valserhone,artisanat & cuisine,artisanat_cuisine,euros,4000.0,1686.0,26.0,37,1,64,0,financement_don
219353,https://fr.ulule.com/patisserie-cake-design/,bienvenue,lyon,artisanat & cuisine,artisanat_cuisine,prevente,50.0,7.0,16.0,12,0,12,0,vente_produit
