id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications
213680,https://fr.ulule.com/saltie-la-1ere-pate-a-tartiner-salee/,Saltie - La 1ère pâte à tartiner salée saine et gourmande,Marseille,Artisanat & Cuisine,artisanat_cuisine,prevente,100.0,417.0,112.0,55,1,93,2
216373,https://fr.ulule.com/ouverture-atelier-josepha/,Ouverture de l'Atelier Josépha à Rambouillet,,Artisanat & Cuisine,artisanat_cuisine,euros,6370.0,2185.0,14.0,5,0,15,0
197141,https://fr.ulule.com/crux-snacks/,CRUX : La première marque de nutrition dédiée à l'escalade.,Valence,Artisanat & Cuisine,artisanat_cuisine,euros,8000.0,8117.0,106.0,104,1,48,4
217634,https://fr.ulule.com/fournil-des-oiseaux/,Le fournil des oiseaux,Boulc,Artisanat & Cuisine,artisanat_cuisine,euros,1500.0,1610.0,17.0,11,0,21,0
129648,https://fr.ulule.com/coffret-initiation-tricot/,Apprends enfin à tricoter !,Nantes,Artisanat & Cuisine,artisanat_cuisine,prevente,80.0,60.0,53.0,35,0,39,1
217575,https://fr.ulule.com/alema_cafe-3/,Alema Café,Mehun-sur-Yèvre,Artisanat & Cuisine,artisanat_cuisine,euros,3500.0,2675.0,49.0,54,1,17,1
218687,https://fr.ulule.com/touslesgoutssontdanslanature/,Tous les goûts sont dans la Nature,,Artisanat & Cuisine,artisanat_cuisine,euros,5300.0,2356.0,34.0,42,1,51,0
208766,https://fr.ulule.com/ekhi-vins-biologiques-bouteilles-consignees/,La bouteille de vin qui ne se jette pas !,Granville,Artisanat & Cuisine,artisanat_cuisine,prevente,150.0,256.0,51.0,55,0,44,2
214348,https://fr.ulule.com/l-app-de-cuisine-inspiree-de-tiktok/,L'appli de cuisine inspirée des réseaux sociaux,,Artisanat & Cuisine,artisanat_cuisine,euros,5000.0,3428.0,20.0,10,1,28,1
218062,https://fr.ulule.com/facettes_boulangerie_solaire/,Facettes boulangerie solaire,,Artisanat & Cuisine,artisanat_cuisine,euros,10000.0,8370.0,110.0,125,0,24,4
